aapl	320193
msft	789019
goog	1652044
amzn	1018724
fb	1326801
tsla	1318605
ge	40545
brk-a	1067983
tsm	1046179
jpm	19617
v	1403161
unh	731766
jnj	200406
spy	884394
hd	354950
lvmuy	824046
wmt	104169
pg	80424
bac	70858
pfe	78003
ma	1141391
baba	1577552
asml	937966
dis	1744489
adbe	796343
nflx	1065280
avgo	1730168
orcl	1341439
tmo	97745
csco	858877
lly	59478
tm	1094517
xom	34088
ko	21344
nke	320187
acn	1467373
abt	1800
nvo	353278
cost	909832
pep	77476
abbv	1551152
crm	1108524
cmcsa	1166691
dhr	313616
vz	732712
cvx	93410
pypl	1633917
intc	50863
qcom	804328
mcd	63908
wfc	72971
nvs	1114448
mrk	310158
ups	1090727
ms	895421
nee	753308
low	60667
t	732717
lin	1707925
txn	97476
nvda	1045810
intu	896878
amd	2488
rds-a	1306965
sap	1000184
unp	100885
shop	1594805
sony	313838
schw	316709
qqq	1067839
azn	901832
tmus	1283699
bhp	811809
vwdry	1330306
pm	1413329
ry	1000275
bbl	1171264
bmy	14272
hon	773840
ul	217410
blk	1364742
mdt	1613103
ptr	1108329
amat	6951
td	947263
tte	879764
cvs	64803
amgn	318154
sbux	829224
amt	1053507
gs	886982
el	1001250
axp	4962
deo	835403
chtr	1091667
sny	1121404
rtx	101829
c	831001
now	1373715
hsbc	1089113
pld	1045609
bud	1668717
mrna	1682852
rtntf	887028
hdb	1144967
ibm	51143
zts	1555280
spgi	64040
ba	12927
gsk	1131399
se	1703399
tgt	27419
cat	18230
antm	1156039
jd	1549802
de	315189
lfc	1268896
rio	863064
infy	1067491
mmm	66740
snow	1640147
abnb	1559720
idexy	1438656
adp	8670
lmt	936468
lrcx	707549
syk	310764
mu	723125
mdlz	1103982
gild	882095
cop	1163165
eadsy	1378580
mo	764180
bkng	1075531
shw	89800
bam	1001085
cci	1051470
tjx	109198
bp	313807
bti	1303523
cni	16868
team	1650372
mmc	62709
eqnr	1140625
bx	1393818
cb	896159
cta-pa	30554
usb	36104
hca	860730
pnc	713676
bns	9631
sftby	1065521
cme	1156375
duk	1326160
gm	1467858
f	37996
tfc	92230
ice	1571949
atlcy	748954
enb	895728
itw	49826
uber	1543151
bdx	10795
ci	1739940
eqix	1101239
ew	1099800
abb	1091587
sq	1512673
mco	1059556
so	92122
cl	21665
mufg	67088
vale	917851
nsc	702165
njdcy	1158967
bntx	1776985
snp	1123658
pbr	1119639
pdd	1737806
mrvl	1835632
snap	1564408
wm	823768
fisv	798354
amx	1129137
wday	1327811
apd	2969
bmo	927971
fdx	1048911
fis	1136893
aon	315293
regn	872589
etn	1551182
ibn	1103838
psa	1393311
ecl	31462
glncy	1524684
cof	927628
adi	6281
d	715957
race	1648416
ntes	1110646
coin	1679788
ubs	1610520
zm	1585521
noc	1133421
relx	929869
nxpi	1413447
klac	319201
pgr	80661
adsk	769397
rbgly	1420798
meli	1099590
hum	49071
ifnny	1107457
gd	40533
tri	1075124
sxyay	1575851
stla	1605484
bsx	885725
vrtx	875320
rblx	1315098
ilmn	1110803
info	1598014
fcx	831259
wbk	719245
jci	833444
san	891478
emr	32604
ftnt	1262039
chgcy	1453934
dnngy	1679771
snps	883241
dxcm	1093557
mraay	1450468
ing	1039765
idxx	874716
dg	29534
panw	1327567
exc	1109357
met	1099219
